"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Trading across Borders  Time to export Border compliance hours DB1618 methodology","Total","Trading across Borders  Time to export Border compliance hours DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Time to import Documentary compliance hours DB1618 methodology","Total","Trading across Borders  Time to import Documentary compliance hours DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Time to export Documentary compliance hours DB1618 methodology","Total","Trading across Borders  Time to export Documentary compliance hours DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Time to import days DB0615 methodology","Total","Trading across Borders  Time to import days DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Time to export days DB0615 methodology","Total","Trading across Borders  Time to export days DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Cost to import US$ per container deflated DB0615 methodology","Total","Trading across Borders  Cost to import US$ per container deflated DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Cost to export US$ per container deflated DB0615 methodology","Total","Trading across Borders  Cost to export US$ per container deflated DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Documents to import number DB0615 methodology","Total","Trading across Borders  Documents to import number DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  Documents to export number DB0615 methodology","Total","Trading across Borders  Documents to export number DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  DTF  Trading across borders
DB0615 methodology","Total","Trading across Borders  DTF  Trading across borders
DB0615 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Trading across Borders  DTF  Trading across borders
DB1618 methodology","Total","Trading across Borders  DTF  Trading across borders
DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Trading across borders
DB18","Total","Rank  Trading across borders
DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  DTFPostfiling index 0100 DB1718 methodology","Total","Paying Taxes  DTFPostfiling index 0100 DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Time to complete a corporate income tax audit weeks DB1718 methodology","Total","Paying Taxes  Time to complete a corporate income tax audit weeks DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Time to comply with corporate income tax audit hours DB1718 methodology","Total","Paying Taxes  Time to comply with corporate income tax audit hours DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Time to obtain VAT refund weeks DB1718 methodology","Total","Paying Taxes  Time to obtain VAT refund weeks DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Time to comply with VAT refund hours DB1718 methodology","Total","Paying Taxes  Time to comply with VAT refund hours DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Other taxes % of profit","Total","Paying Taxes  Other taxes % of profit","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Labor tax and contributions % of profit","Total","Paying Taxes  Labor tax and contributions % of profit","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Profit tax % of profit","Total","Paying Taxes  Profit tax % of profit","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Total tax rate % of profit","Total","Paying Taxes  Total tax rate % of profit","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Time hours per year","Total","Paying Taxes  Time hours per year","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  Payments number per year","Total","Paying Taxes  Payments number per year","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  DTF  Paying taxes DB0616 methodology","Total","Paying Taxes  DTF  Paying taxes DB0616 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Paying Taxes  DTF  Paying taxes DB1718 methodology","Total","Paying Taxes  DTF  Paying taxes DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
