Indicator_Id;Indicator;Display_Name;Dataset;Rank;Category_11;Category_12;Category_13;Category_14;Category_15;Category_21;Category_22;Category_23;Category_24;Category_25;Category_31;Category_32;Category_33;Category_34;New1;New2;New3;New4;New5
;House of the People Unicameral;House of the People Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;National Council of Provinces Bicameral;National Council of Provinces Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Transitional National Legislative Assembly Bicameral;Transitional National Legislative Assembly Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Congress of Deputies Bicameral;Congress of Deputies Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;People's Assembly Unicameral;People's Assembly Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;National Legislative Assembly Unicameral;National Legislative Assembly Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Assembly of People's Representatives Unicameral;Assembly of People's Representatives Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Grand National Assembly of Turkey Unicameral;Grand National Assembly of Turkey Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Assembly Unicameral;Assembly Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Parliament of Tuvalu Unicameral;Parliament of Tuvalu Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Federal National Council Unicameral;Federal National Council Unicameral;IPU;;;;;;;;;;;;;;;;;;;;
;House of Lords Bicameral;House of Lords Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
;Legislative Chamber Bicameral;Legislative Chamber Bicameral;IPU;;;;;;;;;;;;;;;;;;;;
