"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"54","can nonpregnant and nonnursing women work in mining in the same way as men?-WBL-1 Yes 0 No","41-WBL-Total","Can nonpregnant and nonnursing women work in mining in the same way as men?","Total","Can nonpregnant and nonnursing women work in mining in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"55","can nonpregnant and nonnursing women work in transport in the same way as men?-WBL-1 Yes 0 No","35-WBL-Total","Can nonpregnant and nonnursing women work in transport in the same way as men?","Total","Can nonpregnant and nonnursing women work in transport in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"56","can nonpregnant and nonnursing women work in water sector in the same way as men?-WBL-1 Yes 0 No","37-WBL-Total","Can nonpregnant and nonnursing women work in water sector in the same way as men?","Total","Can nonpregnant and nonnursing women work in water sector in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"57","can nonpregnant and nonnursing women work the same night hours as men?-WBL-1 Yes 0 No","46-WBL-Total","Can nonpregnant and nonnursing women work the same night hours as men?","Total","Can nonpregnant and nonnursing women work the same night hours as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"58","can parents work flexibly?-WBL-1 Yes 0 No","53-WBL-Total","Can parents work flexibly?","Total","Can parents work flexibly?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"59","do female and male surviving spouses have equal rights to inherit assets?-WBL-1 Yes 0 No","107-WBL-Total","Do female and male surviving spouses have equal rights to inherit assets?","Total","Do female and male surviving spouses have equal rights to inherit assets?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"60","do married couples jointly share legal responsibility for financially maintaining the familys expenses?-WBL-1 Yes 0 No","114-WBL-Total","Do married couples jointly share legal responsibility for financially maintaining the family's expenses?","Total","Do married couples jointly share legal responsibility for financially maintaining the familys expenses?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"61","do married men and married women have equal ownership rights to property?-WBL-1 Yes 0 No","109-WBL-Total","Do married men and married women have equal ownership rights to property?","Total","Do married men and married women have equal ownership rights to property?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"62","do microfinance institutions provide information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","83-WBL-Total","Do microfinance institutions provide information to private credit bureaus or public credit registries?","Total","Do microfinance institutions provide information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"63","do microfinance institutions provide negative information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","77-WBL-Total","Do microfinance institutions provide negative information to private credit bureaus or public credit registries? ","Total","Do microfinance institutions provide negative information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"64","do microfinance institutions provide positive information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","78-WBL-Total","Do microfinance institutions provide positive information to private credit bureaus or public credit registries? ","Total","Do microfinance institutions provide positive information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"65","do parents receive nontax benefits child allowance for children under 6 years?-WBL-1 Yes 0 No","88-WBL-Total","Do parents receive non-tax benefits (child allowance) for children under 6 years?","Total","Do parents receive nontax benefits child allowance for children under 6 years?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"66","do private childcare centers receive nontax benefits?-WBL-1 Yes 0 No","93-WBL-Total","Do private childcare centers receive non-tax benefits? ","Total","Do private childcare centers receive nontax benefits?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"67","do protection orders cover prohibition of contact and maintaining distance from the survivor?-WBL-1 Yes 0 No","20-WBL-Total","Do protection orders cover prohibition of contact and maintaining distance from the survivor?","Total","Do protection orders cover prohibition of contact and maintaining distance from the survivor?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"68","do protection orders for domestic violence exist?-WBL-1 Yes 0 No","22-WBL-Total","Do protection orders for domestic violence exist?","Total","Do protection orders for domestic violence exist?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"69","do protection orders provide for removal of the perpetrator from the home?-WBL-1 Yes 0 No","21-WBL-Total","Do protection orders provide for removal of the perpetrator from the home?","Total","Do protection orders provide for removal of the perpetrator from the home?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"70","do retailers provide information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","85-WBL-Total","Do retailers provide information to private credit bureaus or public credit registries?","Total","Do retailers provide information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"71","do retailers provide negative information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","81-WBL-Total","Do retailers provide negative information to private credit bureaus or public credit registries? ","Total","Do retailers provide negative information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"72","do retailers provide positive information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","82-WBL-Total","Do retailers provide positive information to private credit bureaus or public credit registries? ","Total","Do retailers provide positive information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"73","do sons and daughters have equal rights to inherit assets from their parents?-WBL-1 Yes 0 No","108-WBL-Total","Do sons and daughters have equal rights to inherit assets from their parents?","Total","Do sons and daughters have equal rights to inherit assets from their parents?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"74","do unmarried men and unmarried women have equal ownership rights to property?-WBL-1 Yes 0 No","110-WBL-Total","Do unmarried men and unmarried women have equal ownership rights to property?","Total","Do unmarried men and unmarried women have equal ownership rights to property?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"75","do utility companies provide information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","84-WBL-Total","Do utility companies provide information to private credit bureaus or public credit registries?","Total","Do utility companies provide information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"76","do utility companies provide negative information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","79-WBL-Total","Do utility companies provide negative information to private credit bureaus or public credit registries? ","Total","Do utility companies provide negative information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"77","do utility companies provide positive information to private credit bureaus or public credit registries?-WBL-1 Yes 0 No","80-WBL-Total","Do utility companies provide positive information to private credit bureaus or public credit registries? ","Total","Do utility companies provide positive information to private credit bureaus or public credit registries?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"78","does a womans testimony carry the same evidentiary weight in court as a mans?-WBL-1 Yes 0 No","103-WBL-Total","Does a woman's testimony carry the same evidentiary weight in court as a man's?","Total","Does a womans testimony carry the same evidentiary weight in court as a mans?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"79","does domestic violence legislation cover economic violence?-WBL-1 Yes 0 No","25-WBL-Total","Does domestic violence legislation cover economic violence?","Total","Does domestic violence legislation cover economic violence?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"80","does domestic violence legislation cover emotional violence?-WBL-1 Yes 0 No","26-WBL-Total","Does domestic violence legislation cover emotional violence?","Total","Does domestic violence legislation cover emotional violence?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"81","does domestic violence legislation cover physical violence?-WBL-1 Yes 0 No","28-WBL-Total","Does domestic violence legislation cover physical violence?","Total","Does domestic violence legislation cover physical violence?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"82","does domestic violence legislation cover sexual violence?-WBL-1 Yes 0 No","27-WBL-Total","Does domestic violence legislation cover sexual violence?","Total","Does domestic violence legislation cover sexual violence?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"83","does domestic violence legislation protect former spouses?-WBL-1 Yes 0 No","24-WBL-Total","Does domestic violence legislation protect former spouses?","Total","Does domestic violence legislation protect former spouses?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"84","does domestic violence legislation protect unmarried intimate partners?-WBL-1 Yes 0 No","23-WBL-Total","Does domestic violence legislation protect unmarried intimate partners?","Total","Does domestic violence legislation protect unmarried intimate partners?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"85","does legislation explicitly criminalize marital rape?-WBL-1 Yes 0 No","4-WBL-Total","Does legislation explicitly criminalize marital rape?","Total","Does legislation explicitly criminalize marital rape?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"86","does the constitution contain a clause on equality?-WBL-1 Yes 0 No","149-WBL-Total","Does the constitution contain a clause on equality?","Total","Does the constitution contain a clause on equality?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"87","does the constitution contain a clause on nondiscrimination?-WBL-1 Yes 0 No","151-WBL-Total","Does the constitution contain a clause on nondiscrimination?","Total","Does the constitution contain a clause on nondiscrimination?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"88","does the government provide childcare services?-WBL-1 Yes 0 No","92-WBL-Total","Does the government provide childcare services?","Total","Does the government provide childcare services?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"89","does the government support or provide childcare services?-WBL-1 Yes 0 No","153-WBL-Total","Does the government support or provide childcare services?","Total","Does the government support or provide childcare services?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"90","does the law establish an antidiscrimination commission?-WBL-1 Yes 0 No","95-WBL-Total","Does the law establish an anti-discrimination commission?","Total","Does the law establish an antidiscrimination commission?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"91","does the law mandate equal remuneration for work of equal value?-WBL-1 Yes 0 No","61-WBL-Total","Does the law mandate equal remuneration for work of equal value?","Total","Does the law mandate equal remuneration for work of equal value?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"92","does the law mandate legal aid in criminal matters?-WBL-1 Yes 0 No","97-WBL-Total","Does the law mandate legal aid in criminal matters?","Total","Does the law mandate legal aid in criminal matters?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"93","does the law mandate mandate legal aid in civilfamily matters?-WBL-1 Yes 0 No","98-WBL-Total","Does the law mandate mandate legal aid in civil/family matters?","Total","Does the law mandate mandate legal aid in civilfamily matters?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"94","does the law mandate nondiscrimination based on gender in dismissal?-WBL-1 Yes 0 No","57-WBL-Total","Does the law mandate nondiscrimination based on gender in dismissal?","Total","Does the law mandate nondiscrimination based on gender in dismissal?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"95","does the law mandate nondiscrimination based on gender in employment?-WBL-1 Yes 0 No","60-WBL-Total","Does the law mandate nondiscrimination based on gender in employment?","Total","Does the law mandate nondiscrimination based on gender in employment?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"96","does the law mandate nondiscrimination based on gender in hiring?-WBL-1 Yes 0 No","59-WBL-Total","Does the law mandate nondiscrimination based on gender in hiring?","Total","Does the law mandate nondiscrimination based on gender in hiring?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"97","does the law mandate nondiscrimination based on gender in promotions?-WBL-1 Yes 0 No","58-WBL-Total","Does the law mandate nondiscrimination based on gender in promotions?","Total","Does the law mandate nondiscrimination based on gender in promotions?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"98","does the law mandate paid or unpaid maternity leave?-WBL-1 Yes 0 No","74-WBL-Total","Does the law mandate paid or unpaid maternity leave?","Total","Does the law mandate paid or unpaid maternity leave?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"99","does the law mandate paid or unpaid parental leave?-WBL-1 Yes 0 No","72-WBL-Total","Does the law mandate paid or unpaid parental leave?","Total","Does the law mandate paid or unpaid parental leave?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"100","does the law mandate paid or unpaid paternity leave?-WBL-1 Yes 0 No","73-WBL-Total","Does the law mandate paid or unpaid paternity leave?","Total","Does the law mandate paid or unpaid paternity leave?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"101","does the law prohibit discrimination by creditors on the basis of marital status in access to credit?-WBL-1 Yes 0 No","75-WBL-Total","Does the law prohibit discrimination by creditors on the basis of marital status in access to credit?","Total","Does the law prohibit discrimination by creditors on the basis of marital status in access to credit?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"102","does the law prohibit discrimination by creditors on the basis of sex or gender in access to credit?-WBL-1 Yes 0 No","76-WBL-Total","Does the law prohibit discrimination by creditors on the basis of sex or gender in access to credit?","Total","Does the law prohibit discrimination by creditors on the basis of sex or gender in access to credit?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"103","does the law prohibit or invalidate child or early marriage?-WBL-1 Yes 0 No","6-WBL-Total","Does the law prohibit or invalidate child or early marriage?","Total","Does the law prohibit or invalidate child or early marriage?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"104","does the law provide for the valuation of nonmonetary contributions?-WBL-1 Yes 0 No","111-WBL-Total","Does the law provide for the valuation of nonmonetary contributions?","Total","Does the law provide for the valuation of nonmonetary contributions?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"105","does the law recognize customary courts that adjudicate exclusively on customary law?-WBL-1 Yes 0 No","106-WBL-Total","Does the law recognize customary courts that adjudicate exclusively on customary law?","Total","Does the law recognize customary courts that adjudicate exclusively on customary law?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"106","does the law recognize personal law courts that adjudicate exclusively on personal law?-WBL-1 Yes 0 No","104-WBL-Total","Does the law recognize personal law courts that adjudicate exclusively on personal law?","Total","Does the law recognize personal law courts that adjudicate exclusively on personal law?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"107","has legislation provided for the removal of provisions which exempt perpetrators from facing charges for rape if the perpetrator marries the victim after the crime?-WBL-1 Yes 0 No","2-WBL-Total","Has legislation provided for the removal of provisions which exempt perpetrators from facing charges for rape if the perpetrator marries the victim after the crime?","Total","Has legislation provided for the removal of provisions which exempt perpetrators from facing charges for rape if the perpetrator marries the victim after the crime?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"108","how many days of paid parental leave must be taken by the father?-WBL-1 Yes 0 No","62-WBL-Total","How many days of paid parental leave must be taken by the father?","Total","How many days of paid parental leave must be taken by the father?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"109","how many days of paid parental leave must be taken by the mother?-WBL-1 Yes 0 No","63-WBL-Total","How many days of paid parental leave must be taken by the mother?","Total","How many days of paid parental leave must be taken by the mother?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"110","how many days of unpaid parental leave must be taken by the father?-WBL-1 Yes 0 No","64-WBL-Total","How many days of unpaid parental leave must be taken by the father?","Total","How many days of unpaid parental leave must be taken by the father?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"111","how many days of unpaid parental leave must be taken by the mother?-WBL-1 Yes 0 No","65-WBL-Total","How many days of unpaid parental leave must be taken by the mother?","Total","How many days of unpaid parental leave must be taken by the mother?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"112","how many justices are on the constitutional court?-WBL-1 Yes 0 No","102-WBL-Total","How many justices are on the constitutional court?","Total","How many justices are on the constitutional court?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"113","if customary law courts are recognized can their decisions be appealed to the formal state justice system?-WBL-1 Yes 0 No","105-WBL-Total","If customary law courts are recognized, can their decisions be appealed to the formal state justice system?","Total","If customary law courts are recognized can their decisions be appealed to the formal state justice system?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"114","if customary law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on nondiscrimination or equality?-WBL-1 Yes 0 No","147-WBL-Total","If customary law is recognized as a valid source of law under the constitution, is it invalid if it violates constitutional provisions on nondiscrimination or equality?","Total","If customary law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on nondiscrimination or equality?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"115","if customary law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on nondiscrimination or equality?-WBL-1 Yes 0 No","155-WBL-Total","If customary law is recognized as a valid source of law under the constitution, is it invalid if it violates constitutional provisions on Nondiscrimination or equality?","Total","If customary law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on Nondiscrimination or equality?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"116","if personal law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on nondiscrimination or equality?-WBL-1 Yes 0 No","154-WBL-Total","If personal law is recognized as a valid source of law under the constitution, is it invalid if it violates constitutional provisions on Nondiscrimination or equality?","Total","If personal law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on Nondiscrimination or equality?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"117","if personal law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on nondiscrimination or equality?-WBL-1 Yes 0 No","145-WBL-Total","If personal law is recognized as a valid source of law under the constitution, is it invalid if it violates constitutional provisions on nondiscrimination or equality?","Total","If personal law is recognized as a valid source of law under the constitution is it invalid if it violates constitutional provisions on nondiscrimination or equality?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"118","if the husband administers property is spousal consent required for major transactions?-WBL-1 Yes 0 No","113-WBL-Total","If the husband administers property, is spousal consent required for major transactions?","Total","If the husband administers property is spousal consent required for major transactions?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"119","if there is a nondiscrimination clause in the constitution does it explicitly mention sex or gender?-WBL-1 Yes 0 No","150-WBL-Total","If there is a nondiscrimination clause in the constitution, does it explicitly mention sex or gender? ","Total","If there is a nondiscrimination clause in the constitution does it explicitly mention sex or gender?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"120","if there is no legislation specifically protecting against domestic violence are there aggravating penalties for crimes against a spouse or family member?-WBL-1 Yes 0 No","30-WBL-Total","If there is no legislation specifically protecting against domestic violence, are there aggravating penalties for crimes against a spouse or family member?","Total","If there is no legislation specifically protecting against domestic violence are there aggravating penalties for crimes against a spouse or family member?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"121","if there is no specific provision that explicitly criminalizes marital rape can a woman otherwise file a criminal complaint against her husband for rape?-WBL-1 Yes 0 No","3-WBL-Total","If there is no specific provision that explicitly criminalizes marital rape, can a woman otherwise file a criminal complaint against her husband for rape? ","Total","If there is no specific provision that explicitly criminalizes marital rape can a woman otherwise file a criminal complaint against her husband for rape?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"122","is customary law recognized as a valid source of law under the constitution?-WBL-1 Yes 0 No","148-WBL-Total","Is customary law recognized as a valid source of law under the constitution?","Total","Is customary law recognized as a valid source of law under the constitution?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"123","is dismissal of pregnant workers prohibited?-WBL-1 Yes 0 No","55-WBL-Total","Is dismissal of pregnant workers prohibited?","Total","Is dismissal of pregnant workers prohibited?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"124","is it prohibited for prospective employers to ask about family status?-WBL-1 Yes 0 No","56-WBL-Total","Is it prohibited for prospective employers to ask about family status?","Total","Is it prohibited for prospective employers to ask about family status?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"125","is personal law recognized as a valid source of law under the constitution?-WBL-1 Yes 0 No","146-WBL-Total","Is personal law recognized as a valid source of law under the constitution?","Total","Is personal law recognized as a valid source of law under the constitution?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"126","is primary education free and compulsory?-WBL-1 Yes 0 No","87-WBL-Total","Is primary education free and compulsory? ","Total","Is primary education free and compulsory?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"127","is the chief justice a woman?-WBL-1 Yes 0 No","100-WBL-Total","Is the Chief Justice a woman?","Total","Is the Chief Justice a woman?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"128","is there a small claims court or a fasttrack procedure for small claims?-WBL-1 Yes 0 No","99-WBL-Total","Is there a small claims court or a fast-track procedure for small claims?","Total","Is there a small claims court or a fasttrack procedure for small claims?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"129","is there a specialized court or procedure for cases of domestic violence?-WBL-1 Yes 0 No","1-WBL-Total","Is there a specialized court or procedure for cases of domestic violence?","Total","Is there a specialized court or procedure for cases of domestic violence?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"130","is there domestic violence legislation?-WBL-1 Yes 0 No","31-WBL-Total","Is there domestic violence legislation?","Total","Is there domestic violence legislation?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
