"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"52","getting electricity total duration and frequency of outages per customer a year-DB-Total","DB","Getting Electricity Total duration and frequency of outages per customer a year","Total","Getting Electricity Total duration and frequency of outages per customer a year","97-DB-Total","0-3","0-3","Value",4.013,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Total duration and frequency of outages per customer a year","",4.307,"Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Total duration and frequency of outages per customer a year","",4.215,"Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Total duration and frequency of outages per customer a year","DB36","DB36","","",""
"53","getting electricity-DB-Total","DB","Getting electricity","Total","Getting electricity","103-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"54","global-DB-Total","DB","global","Total","global","126-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"55","paying taxes dtf paying taxes-DB-Total","DB","Paying Taxes DTF Paying taxes","Total","Paying Taxes DTF Paying taxes","57-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"56","paying taxes dtfpostfiling-DB-Total","DB","Paying Taxes DTFPostfiling","Total","Paying Taxes DTFPostfiling","46-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"57","paying taxes labor tax and contributions % of profit-DB-Total","DB","Paying Taxes Labor tax and contributions % of profit","Total","Paying Taxes Labor tax and contributions % of profit","52-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"58","paying taxes other taxes % of profit-DB-Total","DB","Paying Taxes Other taxes % of profit","Total","Paying Taxes Other taxes % of profit","51-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"59","paying taxes payments number per year-DB-Total","DB","Paying Taxes Payments number per year","Total","Paying Taxes Payments number per year","56-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"60","paying taxes profit tax % of profit-DB-Total","DB","Paying Taxes Profit tax % of profit","Total","Paying Taxes Profit tax % of profit","53-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"61","paying taxes time hours per year-DB-Total","DB","Paying Taxes Time hours per year","Total","Paying Taxes Time hours per year","55-DB-Total","Total","Total","hours",4.459,"Private Sector Interface","Property rights and contracts","Other","Paying Taxes: Time hours per year","",4.28,"Private Sector Interface","Permits and Licenses","Other","Paying Taxes: Time hours per year","",4.04,"Private Sector Interface","Regulation of entry and exit","Other","Paying Taxes: Time hours per year","DB45","DB45","","",""
"62","paying taxes time to complete a corporate income tax audit weeks-DB-Total","DB","Paying Taxes Time to complete a corporate income tax audit weeks","Total","Paying Taxes Time to complete a corporate income tax audit weeks","47-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"63","paying taxes time to comply with corporate income tax audit hours-DB-Total","DB","Paying Taxes Time to comply with corporate income tax audit hours","Total","Paying Taxes Time to comply with corporate income tax audit hours","48-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"64","paying taxes time to comply with vat refund hours-DB-Total","DB","Paying Taxes Time to comply with VAT refund hours","Total","Paying Taxes Time to comply with VAT refund hours","50-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"65","paying taxes time to obtain vat refund weeks-DB-Total","DB","Paying Taxes Time to obtain VAT refund weeks","Total","Paying Taxes Time to obtain VAT refund weeks","49-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"66","paying taxes total tax rate % of profit-DB-Total","DB","Paying Taxes Total tax rate % of profit","Total","Paying Taxes Total tax rate % of profit","54-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"67","paying taxes-DB-Total","DB","Paying taxes","Total","Paying taxes","58-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"68","protecting minority investors dtf protecting minority investors-DB-Total","DB","Protecting Minority Investors DTF Protecting minority investors","Total","Protecting Minority Investors DTF Protecting minority investors","69-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"69","protecting minority investors ease of shareholder suits-DB-Total","DB","Protecting Minority Investors Ease of shareholder suits","Total","Protecting Minority Investors Ease of shareholder suits","66-DB-Total","Total","Total","%",4.368,"Private Sector Interface","Property rights and contracts","Other","Protecting Minority Investors  Ease of shareholder suits index 010 old methodology","",NA,"","","","","",NA,"","","","","","Delete","","",""
"70","protecting minority investors ease of shareholder suits-DB-Total","DB","Protecting Minority Investors Ease of shareholder suits","Total","Protecting Minority Investors Ease of shareholder suits","66-DB-Total","0-10","0-10","index",4.43,"Private Sector Interface","Property rights and contracts","Other","Protecting Minority Investors: Ease of shareholder suits","",4.177,"Private Sector Interface","Permits and Licenses","Other","Protecting Minority Investors: Ease of shareholder suits","",4.039,"Private Sector Interface","Regulation of entry and exit","Other","Protecting Minority Investors: Ease of shareholder suits","DB49","DB49","","",""
"71","protecting minority investors extent of conflict of interest regulation-DB-Total","DB","Protecting Minority Investors Extent of conflict of interest regulation","Total","Protecting Minority Investors Extent of conflict of interest regulation","62-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"72","protecting minority investors extent of corporate transparency-DB-Total","DB","Protecting Minority Investors Extent of corporate transparency","Total","Protecting Minority Investors Extent of corporate transparency","63-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"73","protecting minority investors extent of director liability-DB-Total","DB","Protecting Minority Investors Extent of director liability","Total","Protecting Minority Investors Extent of director liability","67-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"74","protecting minority investors extent of disclosure-DB-Total","DB","Protecting Minority Investors Extent of disclosure","Total","Protecting Minority Investors Extent of disclosure","68-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"75","protecting minority investors extent of ownership and control-DB-Total","DB","Protecting Minority Investors Extent of ownership and control","Total","Protecting Minority Investors Extent of ownership and control","64-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"76","protecting minority investors extent of shareholder governance-DB-Total","DB","Protecting Minority Investors Extent of shareholder governance","Total","Protecting Minority Investors Extent of shareholder governance","61-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"77","protecting minority investors extent of shareholder rights-DB-Total","DB","Protecting Minority Investors Extent of shareholder rights","Total","Protecting Minority Investors Extent of shareholder rights","65-DB-Total","0-10","0-10","index",4.129,"Private Sector Interface","Property rights and contracts","Other","Protecting Minority Investors: Extent of shareholder rights ","",4.031,"Private Sector Interface","Permits and Licenses","Other","Protecting Minority Investors: Extent of shareholder rights ","",4.287,"Private Sector Interface","Regulation of entry and exit","Other","Protecting Minority Investors: Extent of shareholder rights ","DB57","DB57","","",""
"78","protecting minority investors strength of investor protection-DB-Total","DB","Protecting Minority Investors Strength of investor protection","Total","Protecting Minority Investors Strength of investor protection","60-DB-Total","0-10","0-10","index",4.036,"Private Sector Interface","Property rights and contracts","Other","Protecting Minority Investors: Strength of investor protection old methodology","",4.076,"Private Sector Interface","Permits and Licenses","Other","Protecting Minority Investors: Strength of investor protection old methodology","",4.281,"Private Sector Interface","Regulation of entry and exit","Other","Protecting Minority Investors: Strength of investor protection old methodology","DB58","DB58","","",""
"79","protecting minority investors strength of minority investor protection-DB-Total","DB","Protecting Minority Investors Strength of minority investor protection","Total","Protecting Minority Investors Strength of minority investor protection","59-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"80","protecting minority investors-DB-Total","DB","Protecting minority investors","Total","Protecting minority investors","70-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"81","registering property cost % of property value-DB-Total","DB","Registering Property Cost % of property value","Total","Registering Property Cost % of property value","84-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"82","registering property dtf registering property-DB-Total","DB","Registering Property DTF Registering property","Total","Registering Property DTF Registering property","87-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"83","registering property equal access to property rights-DB-Total","DB","Registering Property Equal access to property rights","Total","Registering Property Equal access to property rights","78-DB-Total","Index (-2 to 0)","Index (-2 to 0)","Index (-2 to 0)",4.403,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Equal access to property rights","",4.195,"Private Sector Interface","Permits and Licenses","Other","Registering Property: Equal access to property rights","",4.175,"Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Equal access to property rights","DB64","DB64","","",""
"84","registering property geographic coverage-DB-Total","DB","Registering Property Geographic coverage","Total","Registering Property Geographic coverage","80-DB-Total","0-8","0-8","index",4.381,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Geographic coverage","",4.028,"Private Sector Interface","Permits and Licenses","Other","Registering Property: Geographic coverage","",4.317,"Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Geographic coverage","DB65","DB65","","",""
"85","registering property land dispute resolution-DB-Total","DB","Registering Property Land dispute resolution","Total","Registering Property Land dispute resolution","79-DB-Total","0-8","0-8","index",4.516,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Land dispute resolution","",4.251,"Private Sector Interface","Permits and Licenses","Other","Registering Property: Land dispute resolution","",4.031,"Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Land dispute resolution","DB66","DB66","","",""
"86","registering property procedures number-DB-Total","DB","Registering Property Procedures number","Total","Registering Property Procedures number","86-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"87","registering property quality of land administration-DB-Total","DB","Registering Property Quality of land administration","Total","Registering Property Quality of land administration","83-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"88","registering property reliability of infrastructure-DB-Total","DB","Registering Property Reliability of infrastructure","Total","Registering Property Reliability of infrastructure","82-DB-Total","0-8","0-8","index",4.559,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Reliability of infrastructure","",4.26,"Private Sector Interface","Permits and Licenses","Other","Registering Property: Reliability of infrastructure","",4.096,"Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Reliability of infrastructure","DB69","DB69","","",""
"89","registering property time days-DB-Total","DB","Registering Property Time days","Total","Registering Property Time days","85-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"90","registering property transparency of information-DB-Total","DB","Registering Property Transparency of information","Total","Registering Property Transparency of information","81-DB-Total","0-6","0-6","index",4.476,"Private Sector Interface","Property rights and contracts","Other","Registering Property: Transparency of information","",4.065,"Private Sector Interface","Permits and Licenses","Other","Registering Property: Transparency of information","",4.024,"Private Sector Interface","Regulation of entry and exit","Other","Registering Property: Transparency of information","DB71","DB71","","",""
"91","registering property-DB-Total","DB","Registering property","Total","Registering property","88-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"92","resolving insolvency commencement of proceedings-DB-Total","DB","Resolving Insolvency Commencement of proceedings","Total","Resolving Insolvency Commencement of proceedings","4-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"93","resolving insolvency cost % of estate-DB-Total","DB","Resolving Insolvency Cost % of estate","Total","Resolving Insolvency Cost % of estate","7-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"94","resolving insolvency creditor participation-DB-Total","DB","Resolving Insolvency Creditor participation","Total","Resolving Insolvency Creditor participation","1-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"95","resolving insolvency dtf resolving insolvency-DB-Total","DB","Resolving Insolvency DTF Resolving insolvency","Total","Resolving Insolvency DTF Resolving insolvency","10-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"96","resolving insolvency management of debtors assets-DB-Total","DB","Resolving Insolvency Management of debtors assets","Total","Resolving Insolvency Management of debtors assets","3-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"97","resolving insolvency outcome as piecemeal sale and as going concern-DB-Total","DB","Resolving Insolvency Outcome as piecemeal sale and as going concern","Total","Resolving Insolvency Outcome as piecemeal sale and as going concern","9-DB-Total","Index (0-1)","Index (0-1)","Index (0-1)",4.558,"Private Sector Interface","Property rights and contracts","Other","Resolving Insolvency: Outcome 0 as piecemeal sale and 1 as going concern","",4.29,"Private Sector Interface","Permits and Licenses","Other","Resolving Insolvency: Outcome 0 as piecemeal sale and 1 as going concern","",4.123,"Private Sector Interface","Regulation of entry and exit","Other","Resolving Insolvency: Outcome 0 as piecemeal sale and 1 as going concern","DB78","DB78","","",""
"98","resolving insolvency recovery rate cents on the dollar-DB-Total","DB","Resolving Insolvency Recovery rate cents on the dollar","Total","Resolving Insolvency Recovery rate cents on the dollar","6-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"99","resolving insolvency reorganization proceedings-DB-Total","DB","Resolving Insolvency Reorganization proceedings","Total","Resolving Insolvency Reorganization proceedings","2-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"100","resolving insolvency strength of insolvency framework-DB-Total","DB","Resolving Insolvency Strength of insolvency framework","Total","Resolving Insolvency Strength of insolvency framework","5-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"101","resolving insolvency time years-DB-Total","DB","Resolving Insolvency Time years","Total","Resolving Insolvency Time years","8-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"102","resolving insolvency-DB-Total","DB","Resolving insolvency","Total","Resolving insolvency","11-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"103","starting a business cost men % of income per capita-DB-Total","DB","Starting a Business Cost Men % of income per capita","Total","Starting a Business Cost Men % of income per capita","120-DB-Total","Total","Total","%",4.332,"Private Sector Interface","Property rights and contracts","Other","Starting a Business: Cost Men % of income per capita","",4.094,"Private Sector Interface","Permits and Licenses","Other","Starting a Business: Cost Men % of income per capita","",4.255,"Private Sector Interface","Regulation of entry and exit","Other","Starting a Business: Cost Men % of income per capita","DB85","DB85","","",""
