Indicator_Id,Indicator,Indicator_Name,answer,Display_Name,Dataset,Rank,Category_11,Category_12,Category_13,Category_14,Category_15,Category_21,Category_22,Category_23,Category_24,Category_25,Category_31,Category_32,Category_33,Category_34,New1,New2,New3,New4,New5,keyN
FH3,,Electoral Democracies,Total,Electoral Democracies,FH,,,,,,,,,,,,,,,,,,,,,3
FH5,,Freedom Status,Total,Country Ratings Statuses,FH,,,,,,,,,,,,,,,,,,,,,5
